id,title,genre,description
40,Richard III,Drama|War,"<Richard III > is a film adaptation of William Shakespeare's play of the same name, which tells the story of Richard III, the power-hungry and ruthless monarch who ruled England in the late 15th century."
41,Dead Presidents,Action|Crime|Drama,"<Dead Presidents> is a crime drama film that follows the story of a young African American man named Anthony Curtis, who after serving in the Vietnam War, returns to his hometown in the Bronx, New York."
42,Restoration,Drama,"<Restoration > is a historical drama film that follows the story of Robert Merivel, a physician in 17th century England who is summoned to the court of King Charles II."
43,Mortal Kombat,Action|Adventure,<Mortal Kombat> is a movie based on the popular video game franchise of the same name.
44,To Die For,Comedy|Drama,<To Die For> is a dark comedy-drama film released in 1995.
45,How to Make an American Quilt,Drama|Romance,<How to Make an American Quilt> is a romantic drama film that follows the story of a young woman named Finn who is struggling to decide whether to marry her longtime boyfriend or pursue her dreams of becoming an artist.
46,Seven (Se7en),Crime|Thriller,<Seven> (also stylized as <Se7en>) is a psychological thriller movie from 1995 directed by David Fincher.
47,Pocahontas,Animation|Children's|Musical|Romance,<Pocahontas > is a Disney animated film that tells the story of a young Native American woman named Pocahontas who falls in love with an English settler named John Smith during the colonial era in Virginia.
48,When Night Is Falling,Drama|Romance,<When Night Is Falling> is a Canadian romantic drama film directed by Patricia Rozema.
49,"Usual Suspects, The",Crime|Thriller,The movie <Usual Suspects> is a crime thriller about a group of criminals who are brought together for a heist.
50,Guardian Angel,Action|Drama|Thriller,<Guardian Angel> is a 1994 action-thriller film about a Los Angeles cop who goes undercover to investigate a drug cartel.
51,Mighty Aphrodite,Comedy,<Mighty Aphrodite> is a comedy-drama film directed by Woody Allen.
52,Lamerica,Drama,<Lamerica> is an Italian drama film directed by Gianni Amelio.
53,"Big Green, The",Children's|Comedy,<The Big Green> is a 1995 family sports comedy film about a group of misfit kids who form a soccer team in a small town in Texas.
54,Georgia,Drama,<Georgia> is a 1995 drama film directed by Ulu Grosbard.
55,Kids of the Round Table,Adventure|Children's|Fantasy,<Kids of the Round Table> is a fantasy adventure movie that follows a group of modern-day teenagers who discover a magical portal to King Arthur's Camelot.
56,Home for the Holidays,Drama,<Home for the Holidays> is a comedy-drama film about a young woman named Claudia Larson who goes home for Thanksgiving after losing her job and kissing her daughter's father goodbye.
57,"Postino, Il (The Postman)",Drama|Romance,Il Postino is a 1994 Italian film directed by Michael Radford.
58,"Confessional, The (Le Confessionnal)",Drama|Mystery,"<Confessional, The (Le Confessionnal) > is a Canadian drama film directed by Robert Lepage."
59,"Indian in the Cupboard, The",Adventure|Children's|Fantasy,<The Indian in the Cupboard> is a 1995 family fantasy film based on the novel of the same name by Lynne Reid Banks.
60,Eye for an Eye,Drama|Thriller,"<Eye for an Eye> is a 1996 crime thriller film directed by John Schlesinger and starring Sally Field, Kiefer Sutherland, and Ed Harris."
61,Mr. Holland's Opus,Drama,"<Mr. Holland's Opus> is a movie about a high school music teacher named Glenn Holland who dreams of becoming a famous composer. Over the course of 30 years, he struggles to balance his passion for music with the demands of his job and his family. Through his interactions with his students, Mr. Holland learns valuable lessons about life, love, and the power of music to inspire and transform. The movie stars Richard Dreyfuss as Mr. Holland and was directed by Stephen Herek."
62,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,Comedy,<Don't Be a Menace to South Central While Drinking Your Juice in the Hood> is a parody of the popular hood movies of the 1990s.
63,Two if by Sea,Comedy|Romance,"<Two if by Sea> is a romantic comedy film about a couple, Frank and Roz, who are both art thieves."
64,Bio-Dome,Comedy,"<Bio-Dome> is a comedy film about two slacker friends, Bud and Doyle, who accidentally get locked inside a futuristic, self-sustaining biodome experiment for a year."
65,Lawnmower Man 2: Beyond Cyberspace,Sci-Fi|Thriller,"<Lawnmower Man 2: Beyond Cyberspace> is a science fiction movie that follows the story of Jobe, a computer genius who was transformed into a powerful being in the first movie."
66,Two Bits,Drama,<Two Bits> is a 1995 American drama film directed by James Foley.
67,French Twist (Gazon maudit),Comedy|Romance,<French Twist> is a French comedy film released in 1995.
68,Friday,Comedy,"<Friday> is a comedy movie that follows the story of two friends, Craig and Smokey, who spend a day in their South Central Los Angeles neighborhood."
69,From Dusk Till Dawn,Action|Comedy|Crime|Horror|Thriller,<From Dusk Till Dawn> is a horror/action movie directed by Robert Rodriguez and written by Quentin Tarantino.
70,Fair Game,Action,Fair Game is a 1995 action thriller film directed by Andrew Sipes and starring Cindy Crawford and William Baldwin.
71,Kicking and Screaming,Comedy|Drama,<Kicking and Screaming> is a 1995 comedy-drama film directed by Noah Baumbach.
72,"Misérables, Les",Drama|Musical,Les Misérables  is a film adaptation of Victor Hugo's classic novel of the same name.
73,Bed of Roses,Drama|Romance,<Bed of Roses> is a romantic drama film released in 1996.
74,Big Bully,Comedy|Drama,<Big Bully> is a comedy-drama movie about a writer named David Leary (played by Rick Moranis) who returns to his hometown to teach at the local school.
75,Screamers,Sci-Fi|Thriller,<Screamers>  is a science fiction horror movie set in a post-apocalyptic future where two groups of humans are fighting over a planet that has been destroyed by a war.
76,Nico Icon,Documentary,"<Nico Icon> is a documentary film that explores the life and legacy of Nico, a German singer, model, and actress who became famous for her work with The Velvet Underground in the 1960s."
77,"Crossing Guard, The",Drama,<The Crossing Guard> is a 1995 drama film directed and written by Sean Penn.
78,"Juror, The",Drama|Thriller,<The Juror> is a 1996 American crime thriller film directed by Brian Gibson and starring Demi Moore as a single mother picked for jury duty for a Mafia trial.
79,"White Balloon, The (Badkonake Sefid )",Drama,<The White Balloon> is a 1995 Iranian film directed by Jafar Panahi.
80,Things to Do in Denver when You're Dead,Crime|Drama|Romance,<Things to Do in Denver When You're Dead> is a crime thriller film that follows the story of a former gangster named Jimmy <The Saint> Tosnia who is asked by a local mob boss to come out of retirement and perform one last job.
81,Antonia's Line (Antonia),Drama,<Antonia's Line> is a Dutch film that tells the story of a strong-willed woman named Antonia who returns to her small hometown in the Netherlands after World War II.
82,Once Upon a Time... When We Were Colored,Drama,"<Once Upon a Time... When We Were Colored> is a movie based on Clifton Taulbert's memoirs of growing up in the Mississippi Delta during the 1940s and 1950s. The film follows the life of a young boy named Cliff, who is raised by his grandparents in a segregated community. Despite the challenges of racism and poverty, Cliff and his family find joy in their close-knit community and the traditions that bind them together. As Cliff grows up, he faces new challenges and opportunities, including the chance to attend college and pursue his dreams. The film celebrates the resilience and strength of the African American community during a tumultuous era in American history."
83,Last Summer in the Hamptons,Comedy|Drama,"<Last Summer in the Hamptons> is a comedy-drama film that follows a group of famous actors, writers, and directors who gather in the Hamptons for a weekend of theater workshops and performances."
84,Angels and Insects,Drama|Romance,<Angels and Insects> is a period drama film that follows the story of a naturalist named William Adamson who returns to England from the Amazon and becomes a tutor for a wealthy family.
85,White Squall,Adventure|Drama,<White Squall> is a 1996 movie directed by Ridley Scott that tells the story of a group of teenage boys who embark on a sailing trip on a school ship called the Albatross.
86,Dunston Checks In,Children's|Comedy,<Dunston Checks In> is a family comedy movie about a mischievous orangutan named Dunston who escapes from his life as a hotel attraction and befriends a young boy named Kyle.
87,Black Sheep,Comedy,<Black Sheep> is a 1996 horror-comedy film directed by Penelope Spheeris.
88,Nick of Time,Action|Thriller,<Nick of Time> is a thriller movie released in 1995.
89,"Journey of August King, The",Drama,<The Journey of August King> is a drama film set in the 19th century about a man named August King who helps a runaway slave named Annalees escape to freedom in the North.
90,Mary Reilly,Drama|Thriller,"<Mary Reilly> is a 1996 film based on the novel ""The Strange Case of Dr."
91,Vampire in Brooklyn,Comedy|Romance,<Vampire in Brooklyn> is a horror-comedy movie directed by Wes Craven and stars Eddie Murphy as a vampire named Maximillian who travels to Brooklyn to find a half-vampire mate to continue his bloodline.
92,Beautiful Girls,Drama,"<Beautiful Girls> is a 1996 American comedy-drama film that follows Willie Conway, a piano player who returns to his hometown of Knights Ridge, Massachusetts, for his high school reunion."
93,Broken Arrow,Action|Thriller,<Broken Arrow> is an action-thriller movie from 1996 that revolves around a rogue U.
94,In the Bleak Midwinter,Comedy,In the Bleak Midwinter is a 1995 British comedy-drama film written and directed by Kenneth Branagh.
95,"Hate (Haine, La)",Drama,"The movie <Hate (Haine, La) > is a French film that follows the lives of three young men from immigrant families living in a low-income housing project in the suburbs of Paris."
96,Shopping,Action|Thriller,<Shopping > is a British action thriller film about a group of rebellious teenagers who engage in joyriding and shoplifting in the streets of London.
97,Heidi Fleiss: Hollywood Madam,Documentary,"<Heidi Fleiss: Hollywood Madam> is a documentary film that explores the life and career of Heidi Fleiss, a notorious Hollywood madam who was convicted for running a high-end prostitution ring in the 1990s."
98,City Hall,Drama|Thriller,"<City Hall> is a political drama film released in 1996, directed by Harold Becker and starring Al Pacino and John Cusack."
99,Bottle Rocket,Comedy,<Bottle Rocket> is a comedy-drama film directed by Wes Anderson.
100,Mr. Wrong,Comedy,"<Mr. Wrong> is a comedy film released in 1996 starring Ellen DeGeneres and Bill Pullman. The movie is about a woman named Martha Alston who is looking for love and finds herself in a relationship with a man named Whitman Crawford. However, as the relationship progresses, Martha realizes that Whitman is not the perfect man she thought he was and is actually a dangerous psychopath. The movie follows Martha's attempts to get away from Whitman and end the relationship while also trying to start a new relationship with a man named Jack."
101,Unforgettable,Thriller,"I apologize, but there seems to be a misunderstanding."
102,Happy Gilmore,Comedy,<Happy Gilmore> is a comedy sports movie released in 1996.
103,"Bridges of Madison County, The",Drama|Romance,<The Bridges of Madison County> is a romantic drama film released in 1995.
104,Nobody Loves Me (Keiner liebt mich),Comedy|Drama,<Nobody Loves Me> (Keiner liebt mich) is a German comedy-drama film released in 1994.
105,Muppet Treasure Island,Adventure|Children's|Comedy|Musical,<Muppet Treasure Island> is a musical adventure comedy film based on Robert Louis Stevenson's classic novel <Treasure Island>.
106,Catwalk,Documentary,"<Catwalk > is a documentary film that follows the lives and careers of several high-profile fashion models during the 1990s, including Naomi Campbell, Christy Turlington, and Cindy Crawford."
107,Headless Body in Topless Bar,Comedy,<Headless Body in Topless Bar> is a dark comedy crime film that follows the story of a group of criminals who plan to rob a topless bar.
108,Braveheart,Action|Drama|War,"<Braveheart> is a historical epic movie directed by Mel Gibson, released in 1995."
109,Taxi Driver,Drama|Thriller,<Taxi Driver> is a psychological thriller film directed by Martin Scorsese and released in 1976.
110,Rumble in the Bronx,Action|Adventure|Crime,<Rumble in the Bronx> is a Hong Kong martial arts action-comedy film directed by Stanley Tong and starring Jackie Chan.
111,Before and After,Drama|Mystery,<Before and After> is a 1996 drama film directed by Barbet Schroeder and starring Meryl Streep and Liam Neeson.
112,Margaret's Museum,Drama,"<Margaret's Museum> is a Canadian drama film that tells the story of Margaret MacNeil, a young woman living in a small mining town in Nova Scotia, Canada."
113,Happiness Is in the Field,Comedy,<Happiness Is in the Field> is a French comedy film about a farmer named Francis who is struggling to keep his farm afloat.
114,Anne Frank Remembered,Documentary,"<Anne Frank Remembered> is a documentary film about the life of Anne Frank, a young Jewish girl who wrote a diary during World War II while hiding from the Nazis in Amsterdam."
115,"Young Poisoner's Handbook, The",Crime,<The Young Poisoner's Handbook> is a British black comedy film that tells the story of a young man named Graham Young who becomes obsessed with poison and starts using it to harm others.
116,If Lucy Fell,Comedy|Romance,"<If Lucy Fell> is a romantic comedy film from 1996 that follows the story of two roommates, Lucy and Joe, who make a pact to jump off the Brooklyn Bridge if they do not find love by the end of the month."
117,"Steal Big, Steal Little",Comedy,"<Steal Big, Steal Little> is a comedy-drama film about twin brothers, one of whom is wealthy and the other is poor."
118,Race the Sun,Drama,is a drama movie released in 1996..
119,"Boys of St. Vincent, The",Drama,"<The Boys of St. Vincent> is a Canadian drama film based on the true story of sexual abuse at the Mount Cashel Orphanage in St. John's, Newfoundland. The film follows the experiences of two boys, Kevin and Brian, who are sent to the orphanage run by the Christian Brothers. They endure physical and sexual abuse at the hands of the priests and brothers who are supposed to care for them, and the film explores the psychological impact of their trauma. The story also highlights the institutional cover-up and the struggle for justice that followed the scandal."
120,Boomerang,Comedy|Romance,"<Boomerang > is a romantic comedy film that follows the story of a successful black advertising executive named Marcus Graham, played by Eddie Murphy, who is a womanizer and enjoys the single life."
121,Chungking Express,Drama|Mystery|Romance,<Chungking Express> is a 1994 Hong Kong romantic-comedy-drama film directed by Wong Kar-wai.
122,"Star Maker, The (Uomo delle stelle, L')",Drama,<The Star Maker> is an Italian drama film directed by Giuseppe Tornatore.
123,Flirting With Disaster,Comedy,<Flirting with Disaster> is a comedy film about a young man named Mel Coplin who sets out to find his birth parents with the help of a married couple and a federal agent.
124,"NeverEnding Story III, The",Adventure|Children's|Fantasy,"In <NeverEnding Story III, The,> Bastian Bux and his friends are threatened by a group of bullies called the Nasties."
125,"Silence of the Palace, The (Saimt el Qusur)",Drama,"<The Silence of the Palace> is a Tunisian drama film that tells the story of Alia, a young girl who works as a servant in a palace."
126,Jupiter's Wife,Documentary,"<Jupiter's Wife> is a documentary film directed by Michel Negroponte that explores the life of a woman named Maggie, who lives on the streets of New York City."
127,Pie in the Sky,Comedy|Romance,<Pie in the Sky> is a British television series that aired from 1994 to 1997.
128,Angela,Drama,<Angela > is a drama film directed by Rebecca Miller.
129,Frankie Starlight,Drama|Romance,"<Frankie Starlight> is a drama film that tells the story of a young woman named Bernadette, who is born with a physical deformity that leads to a difficult childhood."
130,Jade,Thriller,Jade  is a crime thriller movie directed by William Friedkin.
131,Nueba Yol,Comedy|Drama,"<Nueba Yol> is a comedy-drama film released in 1995 that follows the story of Balbuena, a Dominican immigrant who moves from Santo Domingo to New York City in search of a better life."
132,Sonic Outlaws,Documentary,<Sonic Outlaws> is a documentary film that explores the activities of a group of musicians and artists who call themselves the <cultural jamming> movement.
133,Down Periscope,Comedy,<Down Periscope> is a comedy film about a misfit submarine crew who are given a mission to try and sink a battleship during a naval war game.
134,From the Journals of Jean Seberg,Documentary,<From the Journals of Jean Seberg> is a documentary film that explores the life and career of the American actress Jean Seberg.
135,Man of the Year,Documentary,Man of the Year is an enlightening documentary that sheds light on important and intriguing topics.
136,"Neon Bible, The",Drama,<The Neon Bible> is a drama film set in the 1940s in a small southern town in the United States.
137,Target,Action|Drama,<Target> is a 1995 action-thriller movie about a former Marine named Bobby who becomes a hired gun for a powerful businessman.
138,Up Close and Personal,Drama|Romance,<Up Close and Personal> is a romantic drama film released in 1996.
139,"Birdcage, The",Comedy,is a comedy film released in 1996..
140,Shadows (Cienie),Drama,<Shadows> (Cienie) is a Polish drama film directed by Andrzej Wajda.
141,Gospa,Drama,"<Gospa> is a drama film that revolves around a young woman named Mary who claims to have witnessed an apparition of the Virgin Mary in the small town of Medjugorje, Bosnia."
142,"Brothers McMullen, The",Comedy,"<The Brothers McMullen> is a 1995 independent film written, directed, produced by and starring Edward Burns."
143,Bad Boys,Action,"<Bad Boys> is an action-comedy movie about two Miami detectives, Mike Lowrey (Will Smith) and Marcus Burnett (Martin Lawrence), who are tasked with finding stolen drugs that have been stolen from their police station."
144,"Amazing Panda Adventure, The",Adventure|Children's,"The movie <Amazing Panda Adventure, The > is about a young American boy named Ryan who travels to China with his father to help his zoologist mother save the giant panda population."
145,"Basketball Diaries, The",Drama,"<The Basketball Diaries> is a 1995 film based on the real-life story of Jim Carroll, a high school basketball player who falls into drug addiction and crime."
146,"Awfully Big Adventure, An",Drama,<An Awfully Big Adventure> is a British drama film released in 1995.
147,Amateur,Crime|Drama|Thriller,<Amateur> is a 1994 crime thriller film directed by Hal Hartley.
148,Apollo 13,Drama,<Apollo 13> is a movie based on the true story of the Apollo 13 mission in 1970.
149,Rob Roy,Drama|Romance|War,<Rob Roy> is a historical drama film set in Scotland in the 18th century.
150,"Addiction, The",Horror,"<The Addiction> is a horror film from 1995 that explores the themes of addiction, morality, and the nature of evil."
151,Batman Forever,Action|Adventure|Comedy|Crime,<Batman Forever> is a superhero film directed by Joel Schumacher and released in 1995.
152,Belle de jour,Drama,<Belle de Jour> is a French film from 1967 directed by Luis Buñuel.
153,Beyond Rangoon,Drama|War,"<Beyond Rangoon> is a drama film that follows the story of Laura Bowman, an American doctor, who travels to Myanmar (formerly Burma) with her sister to escape the pain of losing her son."
154,Blue in the Face,Comedy,<Blue in the Face> is a comedy film that takes place in a Brooklyn cigar shop.
155,Canadian Bacon,Comedy|War,<Canadian Bacon> is a political satire comedy film directed by Michael Moore.
156,Casper,Adventure|Children's,The movie <Casper > is about a friendly ghost named Casper who lives in a haunted mansion with his three mischievous uncles.
157,Clockers,Drama,"Clockers is a crime drama movie directed by Spike Lee, released in 1995."
158,Congo,Action|Adventure|Mystery|Sci-Fi,"<Congo> is a 1995 adventure film directed by Frank Marshall, based on the novel of the same name by Michael Crichton."
159,Crimson Tide,Drama|Thriller|War,<Crimson Tide> is a 1995 American submarine thriller film directed by Tony Scott and starring Denzel Washington and Gene Hackman.
160,Crumb,Documentary,<Crumb> is a documentary film that explores the life and work of underground cartoonist Robert Crumb.
161,Desperado,Action|Romance|Thriller,<Desperado> is a 1995 action film directed by Robert Rodriguez and starring Antonio Banderas and Salma Hayek.
162,Devil in a Blue Dress,Crime|Film-Noir|Mystery|Thriller,<Devil in a Blue Dress> is a crime thriller movie set in 1948 Los Angeles.
163,Die Hard: With a Vengeance,Action|Thriller,<Die Hard: With a Vengeance> is a 1995 action movie starring Bruce Willis and Samuel L.
164,"Doom Generation, The",Comedy|Drama,<The Doom Generation> is a 1995 independent film directed by Gregg Araki.
165,Feast of July,Drama,<Feast of July> is a period drama film set in Victorian England.
166,First Knight,Action|Adventure|Drama|Romance,"<First Knight> is a medieval adventure film that tells the story of King Arthur's Camelot and the legendary love triangle between King Arthur, Queen Guinevere, and the brave knight Lancelot."
167,Free Willy 2: The Adventure Home,Adventure|Children's|Drama,"<Free Willy 2: The Adventure Home> is a family adventure film that follows the story of Jesse, a young boy who had previously helped to free a captive orca whale named Willy."
168,Hackers,Action|Crime|Thriller,<Hackers> is a movie about a group of teenage computer hackers who become involved in a high-stakes corporate conspiracy.
169,Jeffrey,Comedy,<Jeffrey> is a romantic comedy film that follows the life of a gay man named Jeffrey who has sworn off sex due to the fear of contracting AIDS.
170,Johnny Mnemonic,Action|Sci-Fi|Thriller,<Johnny Mnemonic> is a cyberpunk action-thriller movie set in the year 2021.
171,Judge Dredd,Action|Adventure|Sci-Fi,<Judge Dredd> is a science fiction action film set in a dystopian future where society has collapsed and the remaining population lives in a megacity called Mega-City One.
172,Jury Duty,Comedy,Jury Duty  is a comedy film starring Pauly Shore as a jobless and lazy man named Tommy Collins who gets selected for jury duty in a murder trial.
173,Kids,Drama,<Kids > is a controversial drama film that depicts a day in the life of a group of teenagers in New York City.
174,Living in Oblivion,Comedy,<Living in Oblivion> is a comedy-drama film that follows a low-budget independent film crew as they struggle to make a movie.
175,Lord of Illusions,Horror,<Lord of Illusions> is a horror movie directed by Clive Barker.
176,Love & Human Remains,Comedy,<Love & Human Remains> is a Canadian film directed by Denys Arcand.
177,Mad Love,Drama|Romance,"<Mad Love> is a 1995 romantic drama film about a young couple, Matt and Casey, who fall in love despite their different backgrounds and social status."
178,Mallrats,Comedy,<Mallrats> is a comedy film from 1995 directed by Kevin Smith.
179,Mighty Morphin Power Rangers: The Movie,Action|Children's,<Mighty Morphin Power Rangers: The Movie > is a superhero film based on the popular TV series of the same name.
180,Moonlight and Valentino,Drama|Romance,<Moonlight and Valentino> is a 1995 drama film about a woman named Rebecca who is grieving the loss of her husband.
181,Mute Witness,Thriller,<Mute Witness> is a thriller movie about a young American woman named Billy who works as a make-up artist on a film set in Moscow.
182,Nadja,Drama,<Nadja> is a 1994 independent film directed by Michael Almereyda.
183,"Net, The",Sci-Fi|Thriller,<The Net> is a 1995 thriller film about a computer programmer named Angela Bennett who accidentally gets hold of a disk containing sensitive information about a conspiracy involving a powerful corporation.
184,Nine Months,Comedy,"<Nine Months> is a romantic comedy film that follows the story of a successful child psychologist named Samuel Faulkner, who finds out that his girlfriend, Rebecca Taylor, is pregnant."
185,Party Girl,Comedy,"<Party Girl> is a comedy-drama film that follows the life of Mary, a young woman living in New York City who works as a club promoter and loves to party."
186,"Prophecy, The",Horror,"The movie <Prophecy, The > is a horror film about a group of people who become trapped in a remote forest in search of a rare mineral."
187,Reckless,Comedy,<Reckless> is a 1995 crime thriller movie about a detective named Tom who goes undercover to investigate a drug lord named Carlo who is responsible for the death of his partner.
188,Safe,Thriller,<Safe> is a psychological drama film directed by Todd Haynes and released in 1995.
189,"Scarlet Letter, The",Drama,<The Scarlet Letter> is a movie adaptation of the classic novel by Nathaniel Hawthorne.
190,"Show, The",Documentary,<The Show> is a 1995 documentary film that takes a behind-the-scenes look at the world of hip-hop music.
191,Showgirls,Drama,<Showgirls> is a controversial drama film about a young woman named Nomi Malone who moves to Las Vegas to become a dancer and ends up working in a strip club.
192,Smoke,Drama,"<Smoke> is a 1995 drama film that tells the story of Auggie Wren, a Brooklyn cigar shop owner who takes photographs of his neighborhood every day."
193,Something to Talk About,Comedy|Drama|Romance,<Something to Talk About> is a romantic comedy-drama film released in 1995.
194,Species,Horror|Sci-Fi,"<Species> is a science-fiction horror film about a group of scientists who create a genetically modified human-alien hybrid named Sil, who escapes from the lab and begins to rapidly grow and evolve into a deadly creature."
195,"Stars Fell on Henrietta, The",Drama,"<The Stars Fell on Henrietta> is a drama film set in the 1930s, about a group of oil prospectors who arrive in a small town in Oklahoma looking for oil."
196,Strange Days,Action|Crime|Sci-Fi,<Strange Days> is a science fiction thriller movie set in the year 1999 in Los Angeles.
197,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les)",Drama|Musical,<The Umbrellas of Cherbourg> is a French musical film directed by Jacques Demy.
198,"Tie That Binds, The",Thriller,"The movie <Tie That Binds, The > is a thriller about a couple who adopt a young girl, but soon discover that she is the only witness to a brutal crime committed by her biological parents."
199,Three Wishes,Drama,<Three Wishes> is a 1995 drama film about a young boy named Tom who finds a genie in a bottle while playing in the woods.
200,Total Eclipse,Drama|Romance,"<Total Eclipse> is a biographical drama film that depicts the passionate and tumultuous relationship between two French poets, Paul Verlaine and Arthur Rimbaud, in the late 19th century."
201,"To Wong Foo, Thanks for Everything! Julie Newmar",Comedy,"To Wong Foo, Thanks for Everything! Julie Newmar is a comedy-drama film about three drag queens who embark on a road trip from New York City to Los Angeles to participate in a national drag queen competition."
202,Under Siege 2: Dark Territory,Action,<Under Siege 2: Dark Territory> is an action-thriller movie directed by Geoff Murphy.
203,Unstrung Heroes,Comedy|Drama,<Unstrung Heroes> is a 1995 American comedy-drama film directed by Diane Keaton.
204,Unzipped,Documentary,<Unzipped> is a documentary film directed by Douglas Keeve that follows fashion designer Isaac Mizrahi as he prepares for his Fall 1994 collection.
205,"Walk in the Clouds, A",Drama|Romance,<A Walk in the Clouds> is a romantic drama film released in 1995.
